puzzle_name	star_rating	word_count	is_amazon	includes_photo	num_helpful	Sales12-18MonthsAgo
NightHawks	5	108	1	0	6	81
NightHawks	5	31	1	0	5	81
NightHawks	5	51	1	0	4	81
NightHawks	5	88	1	0	4	81
NightHawks	4	37	1	0	2	81
NightHawks	5	11	1	0	1	81
NightHawks	5	33	1	0	0	81
NightHawks	5	11	1	0	2	81
NightHawks	5	70	1	0	0	81
NightHawks	5	5	1	0	1	81
AliceAndTheCaterpillar	5	124	1	0	1	17
AliceAndTheCaterpillar	5	45	1	0	3	17
AliceAndTheCaterpillar	5	65	1	0	3	17
AliceAndTheCaterpillar	5	119	1	0	2	17
AliceAndTheCaterpillar	5	7	1	0	0	17
IslandsOfLife	5	128	0	0	0	629
IslandsOfLife	5	140	0	0	0	629
IslandsOfLife	5	55	0	0	0	629
IslandsOfLife	5	140	1	1	10	629
IslandsOfLife	5	67	1	0	9	629
IslandsOfLife	5	184	1	0	1	629
IslandsOfLife	5	135	1	0	0	629
IslandsOfLife	5	78	1	0	3	629
IslandsOfLife	5	52	1	0	1	629
IslandsOfLife	5	66	1	0	4	629
IslandsOfLife	5	92	1	0	0	629
IslandsOfLife	4	55	1	0	1	629
IslandsOfLife	5	49	1	0	0	629
IslandsOfLife	5	53	1	0	0	629
IslandsOfLife	5	36	1	0	0	629
IslandsOfLife	5	43	1	0	1	629
IslandsOfLife	5	24	1	0	1	629
IslandsOfLife	5	28	1	0	0	629
IslandsOfLife	5	44	1	0	0	629
IslandsOfLife	5	24	1	0	0	629
IslandsOfLife	5	22	1	0	2	629
IslandsOfLife	5	94	1	0	5	629
IslandsOfLife	5	39	1	0	0	629
IslandsOfLife	4	58	1	0	3	629
IslandsOfLife	5	11	1	0	0	629
IslandsOfLife	5	19	1	0	0	629
IslandsOfLife	5	20	1	0	0	629
IslandsOfLife	5	28	1	0	0	629
IslandsOfLife	5	32	1	0	0	629
IslandsOfLife	5	18	1	0	0	629
IslandsOfLife	5	1	1	0	0	629
IslandsOfLife	5	3	1	0	0	629
IslandsOfLife	5	6	1	0	0	629
IslandsOfLife	5	16	1	0	0	629
IslandsOfLife	5	1	1	0	0	629
IslandsOfLife	5	5	1	0	0	629
IslandsOfLife	5	4	1	0	0	629
IslandsOfLife	5	5	1	0	1	629
IslandsOfLife	5	5	1	0	0	629
IslandsOfLife	5	1	1	0	0	629
IslandsOfLife	5	102	1	0	8	629
IslandsOfLife	5	46	1	0	5	629
IslandsOfLife	5	88	1	0	0	629
BigFlowerChildren	5	136	1	0	2	13
BigFlowerChildren	2	91	1	0	2	13
BigFlowerChildren	5	6	1	0	0	13
